ID,SCL,Radius
8,756,25.2
9,694,25.5
10,682,25.2
11,726,28.8
12,780,29.5
13,718,25
14,688,27.2
15,826,29.5
16,741,32
17,771,31.4
18,728,27
20,698,26
21,780,27.4
22,812,30.1
23,944,29.8
24,785,28.5
25,763,26.5
26,679,25.2
27,726,29.2
28,809,30.2
29,793.5,27.3
30,709.5,25.6
31,726,27.8
32,796,30.1
33,759,28
34,761,29.2
35,820,30.2
36,813,31
37,38.65,1.5
38,40.5,1.8
39,38.7,1.9
40,36.35,1.8
41,35.2,1.8
43,721,27.1
44,790,31
45,738,20.9
46,701,26.7
47,736,26.7
48,774,27.9
49,809,27.8
50,700,29
51,670,26.2
52,717,26.5
53,577,23
54,866,32.1
55,679,25.2
56,697,26.7
57,848,32
58,745,26.6
59,683,27.3
60,823,29.9
61,843,30.1
62,846,33
63,709,28
64,854,31.5
65,730,27.5
68,683,27
69,687,27.5
70,805,30.8
71,759,27.1
72,756,28.7
73,726,27
74,807,30
75,797,30.1
76,827,30.6
77,727,27.8
78,846,31.2
79,799,27.3
80,720,27.4
81,783,27.6
82,699,26.3
84,854,31.2
85,825,29
86,732,29
87,656,27.1
88,690,26.3
89,768,29.4
90,697,23.1
92,739,24.6
93,830,33
94,716,29.7
95,757,28.4
96,764,28.7
99,777,28